SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2011-2017,N1,04-Jul-2011,5,2.29,2.59,0.58,0.034,.,0.024,0.000,.,.,.,.,.,.,.,.,.,.,.,1277,1.229,.,.,.,.,.,.,.,
2011-2018,N1,04-Jul-2011,8,5.38,6.27,1.70,0.090,.,0.028,0.041,.,.,.,.,.,.,.,.,.,.,.,1601,1.341,.,.,.,.,.,.,.,
2011-2019,N1,04-Jul-2011,11,3.08,3.54,0.87,1.524,.,0.038,1.863,.,.,.,.,.,.,.,.,.,.,.,2011,1.610,.,.,.,.,.,.,.,
2011-2020,N2 Fert,04-Jul-2011,0,0.50,0.62,0.24,1.188,.,0.020,2.031,.,.,.,.,.,.,.,.,.,.,.,1682,1.654,.,.,.,.,.,.,.,
2011-2021,N2 Fert,04-Jul-2011,1,0.57,0.70,0.24,0.785,.,0.021,0.000,.,.,.,.,.,.,.,.,.,.,.,1673,1.647,.,.,.,.,.,.,.,
2011-2022,N2 Fert,04-Jul-2011,3,0.72,0.85,0.24,0.582,.,0.038,0.766,.,.,.,.,.,.,.,.,.,.,.,1692,1.657,.,.,.,.,.,.,.,
2011-2023,N2 Fert,04-Jul-2011,5,4.04,4.89,1.62,0.180,.,0.037,1.825,.,.,.,.,.,.,.,.,.,.,.,2358,2.053,.,.,.,.,.,.,.,
2011-2024,N2 Fert,04-Jul-2011,8,2.82,3.59,1.48,5.287,.,0.035,2.099,.,.,.,.,.,.,.,.,.,.,.,2991,2.489,.,.,.,.,.,.,.,
2011-0109,E5,06-Jul-2011,0,3.21,3.95,1.40,0.676,.,0.056,3.825,.,.,.,.,.,.,.,.,.,.,.,129,0.098,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0110,E5,06-Jul-2011,1,3.49,4.23,1.39,0.356,.,0.050,2.442,.,.,.,.,.,.,.,.,.,.,.,120,0.090,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0111,E5,06-Jul-2011,3,4.17,5.00,1.57,0.371,.,0.052,3.233,.,.,.,.,.,.,.,.,.,.,.,141,0.096,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0112,E5,06-Jul-2011,5,5.95,6.91,1.83,0.340,.,0.066,2.066,.,.,.,.,.,.,.,.,.,.,.,324,0.113,.,.,.,.,.,.,.,
2011-0113,E5,06-Jul-2011,8,3.80,4.57,1.46,0.343,.,0.086,2.397,.,.,.,.,.,.,.,.,.,.,.,388,0.108,.,.,.,.,.,.,.,
2011-0114,E5,06-Jul-2011,10,3.11,3.84,1.39,0.209,.,0.094,2.031,.,.,.,.,.,.,.,.,.,.,.,437,0.115,.,.,.,.,.,.,.,
2011-0115,E6,06-Jul-2011,0,1.90,2.18,0.53,0.371,.,0.036,5.362,.,.,.,.,.,.,.,.,.,.,.,133,0.100,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0116,E6,06-Jul-2011,1,1.86,2.12,0.51,0.482,.,0.034,0.273,.,.,.,.,.,.,.,.,.,.,.,137,0.104,.,.,.,.,.,.,.,
2011-0117,E6,06-Jul-2011,2,2.19,2.50,0.59,0.356,.,0.036,2.307,.,.,.,.,.,.,.,.,.,.,.,136,0.102,.,.,.,.,.,.,.,
2011-0473,NE14,07-Jul-2011,1,.,.,.,0.110,.,0.010,0.000,9.100,.,.,.,.,0.09,38.2,.,181.00,.,333,1219,2.282,.,.,807.70,200.10,26.10,15.56,12.4,
2011-0474,NE14,07-Jul-2011,6,.,.,.,0.110,.,0.020,0.010,8.500,.,.,.,.,0.10,48.7,.,195.60,.,292,1067,1.912,.,.,826.10,203.80,26.60,15.93,13.0,
2011-0475,NE14,07-Jul-2011,16,.,.,.,0.120,.,0.020,0.450,8.600,.,.,.,.,0.16,70,.,336.50,.,333,1597,2.132,.,.,965.50,232.90,31.10,17.39,26.3,
2011-0265,Toolik Main,08-Jul-2011,0,0.92,1.12,0.39,0.393,.,0.029,2.381,.,.,.,.,.,.,.,.,.,.,.,718,0.688,.,.,.,.,.,.,.,
2011-0266,Toolik Main,08-Jul-2011,1,0.97,1.17,0.37,0.301,.,0.018,2.151,.,.,.,.,.,.,.,.,.,.,.,705,0.677,.,.,.,.,.,.,.,
2011-0267,Toolik Main,08-Jul-2011,3,0.89,1.06,0.32,0.162,.,0.017,3.223,.,.,.,.,.,.,.,.,.,.,.,724,0.693,.,.,.,.,.,.,.,
2011-0268,Toolik Main,08-Jul-2011,5,1.31,1.54,0.45,0.123,.,0.033,1.521,.,.,.,.,.,.,.,.,.,.,.,720,0.679,.,.,.,.,.,.,.,
2011-0269,Toolik Main,08-Jul-2011,8,3.03,3.60,1.10,0.164,.,0.020,2.009,.,.,.,.,.,.,.,.,.,.,.,814,0.680,.,.,.,.,.,.,.,
2011-0270,Toolik Main,08-Jul-2011,12,0.98,1.22,0.46,0.366,.,0.022,3.607,.,.,.,.,.,.,.,.,.,.,.,889,0.694,.,.,.,.,.,.,.,
2011-0271,Toolik Main,08-Jul-2011,16,0.59,0.80,0.39,0.629,.,0.026,2.108,.,.,.,.,.,.,.,.,.,.,.,924,0.707,.,.,.,.,.,.,.,
2011-0272,Toolik Main,08-Jul-2011,19,0.58,0.75,0.33,0.774,.,0.024,4.120,.,.,.,.,.,.,.,.,.,.,.,904,0.688,.,.,.,.,.,.,.,
2011-0266.1,Toolik Main - Dup,08-Jul-2011,1,0.90,1.09,0.36,0.512,.,0.018,1.970,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-2104,I1,12-Jul-2011,1,0.67,0.79,0.24,0.292,.,0.016,0.316,.,.,.,.,.,.,.,.,.,.,.,279,0.255,.,.,.,.,.,.,.,
2011-2105,I1,12-Jul-2011,5,1.11,1.27,0.29,0.265,.,0.017,2.655,.,.,.,.,.,.,.,.,.,.,.,300,0.256,.,.,.,.,.,.,.,
2011-2106,I1,12-Jul-2011,9,1.53,2.13,1.15,1.553,.,0.018,3.034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sample was dumped before titration ended and was not rerun
2011-2107,I2,12-Jul-2011,1,0.77,0.88,0.20,0.185,.,0.018,2.840,.,.,.,.,.,.,.,.,.,.,.,260,0.230,.,.,.,.,.,.,.,
2011-2108,I2,12-Jul-2011,4,0.92,1.12,0.38,0.195,.,0.015,2.585,.,.,.,.,.,.,.,.,.,.,.,283,0.220,.,.,.,.,.,.,.,
2011-2109,I2,12-Jul-2011,14,0.32,0.55,0.43,1.175,.,0.026,1.843,.,.,.,.,.,.,.,.,.,.,.,466,0.228,.,.,.,.,.,.,.,
2011-2110,I3,12-Jul-2011,1,1.39,1.59,0.39,0.078,.,0.022,1.905,.,.,.,.,.,.,.,.,.,.,.,244,0.220,.,.,.,.,.,.,.,
2011-2111,I3,12-Jul-2011,3,1.36,1.55,0.37,0.402,.,0.031,2.187,.,.,.,.,.,.,.,.,.,.,.,252,0.225,.,.,.,.,.,.,.,
2011-2112,I4,12-Jul-2011,1,1.39,1.72,0.62,0.121,.,0.018,1.842,.,.,.,.,.,.,.,.,.,.,.,206,0.180,.,.,.,.,.,.,.,
2011-2113,I4,12-Jul-2011,4,1.93,2.41,0.90,0.151,.,0.022,3.033,.,.,.,.,.,.,.,.,.,.,.,227,0.168,.,.,.,.,.,.,.,
2011-2114,I4,12-Jul-2011,6,1.40,2.30,1.72,0.422,.,0.074,1.246,.,.,.,.,.,.,.,.,.,.,.,466,0.178,.,.,.,.,.,.,.,
2011-2115,I5,12-Jul-2011,1,0.91,1.11,0.38,0.139,.,0.033,0.900,.,.,.,.,.,.,.,.,.,.,.,230,0.204,.,.,.,.,.,.,.,
2011-2116,I5,12-Jul-2011,5,1.24,1.53,0.55,0.139,.,0.022,1.921,.,.,.,.,.,.,.,.,.,.,.,284,0.205,.,.,.,.,.,.,.,
2011-2117,I5,12-Jul-2011,8,2.62,3.31,1.32,0.195,.,0.031,2.490,.,.,.,.,.,.,.,.,.,.,.,437,0.209,.,.,.,.,.,.,.,
2011-2118,I6 Headwaters Lake,12-Jul-2011,1,0.64,0.71,0.13,1.214,.,0.018,2.251,.,.,.,.,.,.,.,.,.,.,.,1003,0.977,.,.,.,.,.,.,.,
2011-2119,I6 Headwaters Lake,12-Jul-2011,5,1.16,1.32,0.29,1.672,.,0.018,2.286,.,.,.,.,.,.,.,.,.,.,.,797,0.726,.,.,.,.,.,.,.,
2011-2120,I6 Headwaters Lake,12-Jul-2011,6,1.32,1.58,0.50,2.584,.,0.018,1.935,.,.,.,.,.,.,.,.,.,.,.,1101,0.961,.,.,.,.,.,.,.,
2011-2130,I Swamp,13-Jul-2011,1,1.14,1.39,0.46,1.225,.,0.022,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Sample run on the wrong method, titration was not complete"
2011-2131,I Swamp,13-Jul-2011,3,1.32,1.77,0.86,0.590,.,0.031,1.758,.,.,.,.,.,.,.,.,.,.,.,625,0.564,.,.,.,.,.,.,.,
2011-2121,I6,13-Jul-2011,1,1.06,1.29,0.43,0.183,.,0.016,1.751,.,.,.,.,.,.,.,.,.,.,.,381,0.356,.,.,.,.,.,.,.,
2011-2122,I6,13-Jul-2011,5,2.48,2.94,0.88,0.132,.,0.018,2.296,.,.,.,.,.,.,.,.,.,.,.,490,0.359,.,.,.,.,.,.,.,
2011-2123,I6,13-Jul-2011,12,1.15,1.67,0.97,1.456,.,0.026,2.702,.,.,.,.,.,.,.,.,.,.,.,614,0.363,.,.,.,.,.,.,.,
2011-2124,I7,13-Jul-2011,1,0.94,1.10,0.30,0.243,.,0.022,3.524,.,.,.,.,.,.,.,.,.,.,.,277,0.262,.,.,.,.,.,.,.,
2011-2125,I7,13-Jul-2011,4,1.41,1.70,0.54,0.147,.,0.037,0.000,.,.,.,.,.,.,.,.,.,.,.,326,0.274,.,.,.,.,.,.,.,
2011-2126,I7,13-Jul-2011,10,1.23,2.18,1.79,1.090,.,0.030,1.715,.,.,.,.,.,.,.,.,.,.,.,539,0.312,.,.,.,.,.,.,.,
2011-2127,I8,13-Jul-2011,1,1.77,2.20,0.81,0.101,.,0.026,1.561,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Titration was not complete and was not rerun
2011-2128,I8,13-Jul-2011,5,2.67,3.56,1.68,0.223,.,0.022,2.890,.,.,.,.,.,.,.,.,.,.,.,718,0.590,.,.,.,.,.,.,.,
2011-2129,I8,13-Jul-2011,7,2.70,4.08,2.64,0.698,.,0.027,1.238,.,.,.,.,.,.,.,.,.,.,.,771,0.524,.,.,.,.,.,.,.,
2011-0273,Toolik Main,15-Jul-2011,0,1.36,1.55,0.37,0.433,.,0.012,2.404,.,.,.,.,.,.,.,.,.,.,.,705,0.682,.,.,.,.,.,.,.,
2011-0274,Toolik Main,15-Jul-2011,1,1.30,1.51,0.39,0.651,.,0.010,2.183,.,.,.,.,.,.,.,.,.,.,.,709,0.686,.,.,.,.,.,.,.,
2011-0275,Toolik Main,15-Jul-2011,3,1.35,1.58,0.43,0.159,.,0.010,0.007,.,.,.,.,.,.,.,.,.,.,.,708,0.686,.,.,.,.,.,.,.,
2011-0276,Toolik Main,15-Jul-2011,5,1.94,2.37,0.82,0.195,.,0.016,2.252,.,.,.,.,.,.,.,.,.,.,.,714,0.683,.,.,.,.,.,.,.,
2011-0277,Toolik Main,15-Jul-2011,8,.,.,.,0.340,.,0.013,2.611,.,.,.,.,.,.,.,.,.,.,.,811,0.673,.,.,.,.,.,.,.,
2011-0278,Toolik Main,15-Jul-2011,12,1.42,1.80,0.72,0.373,.,0.013,3.362,.,.,.,.,.,.,.,.,.,.,.,868,0.683,.,.,.,.,.,.,.,
2011-0279,Toolik Main,15-Jul-2011,16,0.65,0.90,0.48,0.772,.,0.012,4.646,.,.,.,.,.,.,.,.,.,.,.,906,0.704,.,.,.,.,.,.,.,
2011-0280,Toolik Main,15-Jul-2011,19,0.74,1.28,1.03,0.949,.,0.017,5.180,.,.,.,.,.,.,.,.,.,.,.,935,0.707,.,.,.,.,.,.,.,
2011-0274.1,Toolik Main - Dup,15-Jul-2011,1,1.33,1.49,0.31,0.475,.,0.008,0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-0483,NE14,16-Jul-2011,1,.,.,.,0.170,.,0.020,0.010,8.300,.,.,.,.,0.08,80.1,.,193.20,.,302,1679,1.827,.,.,811.00,201.70,26.90,15.86,12.0,
2011-0484,NE14,16-Jul-2011,7,.,.,.,0.190,.,0.010,0.120,9.300,.,.,.,.,0.08,55.9,.,217.90,.,301,1648,1.864,.,.,831.60,205.70,26.90,16.02,12.9,
2011-0485,NE14,16-Jul-2011,16,.,.,.,0.320,.,0.020,0.140,8.800,.,.,.,.,0.21,63.8,.,401.20,.,309,1906,2.186,.,.,951.50,234.20,32.40,17.93,25.5,
2011-0118,E5,18-Jul-2011,0,4.72,5.43,1.36,0.537,.,0.053,2.182,.,.,.,.,.,.,.,.,.,.,.,117,0.096,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0119,E5,18-Jul-2011,1,4.60,5.40,1.51,0.371,.,0.045,2.430,.,.,.,.,.,.,.,.,.,.,.,120,0.097,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0120,E5,18-Jul-2011,3,4.56,5.34,1.48,0.460,.,0.045,0.000,.,.,.,.,.,.,.,.,.,.,.,121,0.096,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0121,E5,18-Jul-2011,5,4.40,5.35,1.82,0.470,.,0.043,2.333,.,.,.,.,.,.,.,.,.,.,.,395,0.105,.,.,.,.,.,.,.,
2011-0122,E5,18-Jul-2011,8,2.51,3.22,1.35,0.377,.,0.067,0.000,.,.,.,.,.,.,.,.,.,.,.,549,0.111,.,.,.,.,.,.,.,
2011-0123,E5,18-Jul-2011,10,2.39,3.32,1.78,0.312,.,0.109,2.855,.,.,.,.,.,.,.,.,.,.,.,579,0.121,.,.,.,.,.,.,.,
2011-0123.1,E5 - Dup,18-Jul-2011,10,.,3.32,.,0.329,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-0124,E6,18-Jul-2011,0,3.80,4.37,1.10,0.346,.,0.032,0.069,.,.,.,.,.,.,.,.,.,.,.,119,0.103,.,.,.,.,.,.,.,
2011-0125,E6,18-Jul-2011,1,3.69,4.25,1.06,0.334,.,0.037,2.119,.,.,.,.,.,.,.,.,.,.,.,127,0.107,.,.,.,.,.,.,.,
2011-0126,E6,18-Jul-2011,2,3.73,4.26,0.99,0.363,.,0.045,2.101,.,.,.,.,.,.,.,.,.,.,.,125,0.103,.,.,.,.,.,.,.,
2011-2060,Fog 2,20-Jul-2011,0,0.38,0.43,0.11,0.419,.,0.017,1.565,.,.,.,.,.,.,.,.,.,.,.,1408,1.394,.,.,.,.,.,.,.,
2011-2061,Fog 2,20-Jul-2011,1,0.38,0.43,0.10,0.363,.,0.150,0.000,.,.,.,.,.,.,.,.,.,.,.,1511,1.497,.,.,.,.,.,.,.,
2011-2062,Fog 2,20-Jul-2011,3,0.37,0.43,0.11,0.345,.,0.017,0.714,.,.,.,.,.,.,.,.,.,.,.,1542,1.528,.,.,.,.,.,.,.,
2011-2063,Fog 2,20-Jul-2011,5,0.47,0.54,0.14,0.124,.,0.016,1.353,.,.,.,.,.,.,.,.,.,.,.,1497,1.478,.,.,.,.,.,.,.,
2011-2064,Fog 2,20-Jul-2011,8,1.02,1.21,0.38,0.139,.,0.018,0.000,.,.,.,.,.,.,.,.,.,.,.,1635,1.549,.,.,.,.,.,.,.,
2011-2065,Fog 2,20-Jul-2011,12,3.85,4.72,1.66,0.475,.,0.022,1.561,.,.,.,.,.,.,.,.,.,.,.,1928,1.689,.,.,.,.,.,.,.,
2011-2066,Fog 2,20-Jul-2011,16,5.46,6.76,2.48,2.808,.,0.023,1.707,.,.,.,.,.,.,.,.,.,.,.,2134,1.827,.,.,.,.,.,.,.,
2011-2067,Fog 4,20-Jul-2011,0,2.31,2.57,0.50,0.236,.,0.024,0.013,.,.,.,.,.,.,.,.,.,.,.,1058,1.032,.,.,.,.,.,.,.,
2011-2068,Fog 4,20-Jul-2011,1,2.24,2.50,0.50,0.219,.,0.026,0.553,.,.,.,.,.,.,.,.,.,.,.,1069,1.041,.,.,.,.,.,.,.,
2011-2069,Fog 4,20-Jul-2011,3,2.90,3.33,0.82,0.232,.,0.027,1.510,.,.,.,.,.,.,.,.,.,.,.,1189,1.066,.,.,.,.,.,.,.,
2011-3091,NE14,21-Jul-2011,0,.,.,.,.,.,.,.,7.500,.,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,.,.,.,
2011-0493,NE14,21-Jul-2011,1,.,.,.,0.100,.,0.020,0.000,8.200,.,.,.,.,0.05,16.3,.,152.00,.,299,1610,1.868,.,.,820.90,201.90,26.40,15.69,11.9,
2011-3092,NE14,21-Jul-2011,3,.,.,.,.,.,.,.,7.500,.,.,.,.,.,.,.,.,.,391,.,.,.,.,.,.,.,.,.,
2011-3093,NE14,21-Jul-2011,5,.,.,.,.,.,.,.,8.300,.,.,.,.,.,.,.,.,.,276,.,.,.,.,.,.,.,.,.,
2011-0494,NE14,21-Jul-2011,7,.,.,.,0.110,.,0.020,0.030,6.900,.,.,.,.,0.10,17.5,.,159.50,.,307,1591,2.048,.,.,829.10,205.80,26.60,15.87,12.6,
2011-3094,NE14,21-Jul-2011,8,.,.,.,.,.,.,.,7.100,.,.,.,.,.,.,.,.,.,413,.,.,.,.,.,.,.,.,.,
2011-3095,NE14,21-Jul-2011,12,.,.,.,.,.,.,.,7.200,.,.,.,.,.,.,.,.,.,406,.,.,.,.,.,.,.,.,.,
2011-0495,NE14,21-Jul-2011,16,.,.,.,0.180,.,0.020,0.000,8.600,.,.,.,.,0.17,58.8,.,383.60,.,297,1899,2.306,.,.,958.30,233.70,31.40,17.46,25.0,
2011-0286,Toolik Main,22-Jul-2011,0,1.17,1.34,0.31,0.478,.,0.015,0.144,.,.,.,.,.,.,.,.,.,.,.,713,0.686,.,.,.,.,.,.,.,
2011-0287,Toolik Main,22-Jul-2011,1,1.14,1.31,0.33,0.394,.,0.020,2.594,.,.,.,.,.,.,.,.,.,.,.,717,0.690,.,.,.,.,.,.,.,
2011-0288,Toolik Main,22-Jul-2011,3,1.21,1.32,0.21,0.256,.,0.021,3.145,.,.,.,.,.,.,.,.,.,.,.,707,0.681,.,.,.,.,.,.,.,
2011-0289,Toolik Main,22-Jul-2011,5,1.14,1.31,0.31,0.212,.,0.021,2.190,.,.,.,.,.,.,.,.,.,.,.,715,0.686,.,.,.,.,.,.,.,
2011-0290,Toolik Main,22-Jul-2011,8,1.64,1.91,0.52,0.221,.,0.022,2.901,.,.,.,.,.,.,.,.,.,.,.,846,0.683,.,.,.,.,.,.,.,
2011-0291,Toolik Main,22-Jul-2011,12,1.07,1.33,0.50,0.383,.,0.022,3.362,.,.,.,.,.,.,.,.,.,.,.,925,0.691,.,.,.,.,.,.,.,
2011-0292,Toolik Main,22-Jul-2011,16,0.67,0.92,0.46,0.481,.,0.024,2.124,.,.,.,.,.,.,.,.,.,.,.,958,0.706,.,.,.,.,.,.,.,
2011-0293,Toolik Main,22-Jul-2011,19,0.61,0.84,0.45,0.532,.,0.025,4.269,.,.,.,.,.,.,.,.,.,.,.,968,0.698,.,.,.,.,.,.,.,
2011-0287.1,Toolik Main - Dup,22-Jul-2011,1,1.19,1.34,0.29,0.339,.,0.018,2.276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-2000,S11,25-Jul-2011,0,1.19,1.31,0.24,0.335,.,0.021,1.426,.,.,.,.,.,.,.,.,.,.,.,2099,2.078,.,.,.,.,.,.,.,
2011-2001,S11,25-Jul-2011,1,1.18,1.32,0.27,0.341,.,0.023,0.264,.,.,.,.,.,.,.,.,.,.,.,2080,2.059,.,.,.,.,.,.,.,
2011-2002,S11,25-Jul-2011,3,1.19,1.33,0.26,0.541,.,0.025,2.381,.,.,.,.,.,.,.,.,.,.,.,2094,2.067,.,.,.,.,.,.,.,
2011-2003,S11,25-Jul-2011,5,2.03,2.23,0.38,0.107,.,0.030,2.325,.,.,.,.,.,.,.,.,.,.,.,3481,3.228,.,.,.,.,.,.,.,
2011-2004,S11,25-Jul-2011,8,4.98,5.68,1.33,3.229,.,0.050,0.112,.,.,.,.,.,.,.,.,.,.,.,4208,3.525,.,.,.,.,.,.,.,
2011-2005,S11,25-Jul-2011,10,10.30,14.07,7.19,12.311,.,0.066,1.563,.,.,.,.,.,.,.,.,.,.,.,4663,4.003,.,.,.,.,.,.,.,
2011-2006,S6,25-Jul-2011,0,1.24,1.39,0.28,0.120,.,0.027,1.098,.,.,.,.,.,.,.,.,.,.,.,2152,2.155,.,.,.,.,.,.,.,
2011-2007,S6,25-Jul-2011,1,1.21,1.36,0.28,0.213,.,0.028,0.234,.,.,.,.,.,.,.,.,.,.,.,2019,2.021,.,.,.,.,.,.,.,
2011-2008,S6,25-Jul-2011,3,1.18,1.33,0.29,0.126,.,0.031,2.789,.,.,.,.,.,.,.,.,.,.,.,2020,2.022,.,.,.,.,.,.,.,
2011-2009,S6,25-Jul-2011,5,1.23,1.37,0.28,0.105,.,0.033,0.128,.,.,.,.,.,.,.,.,.,.,.,2023,2.025,.,.,.,.,.,.,.,
2011-2010,S6,25-Jul-2011,7,2.10,2.87,1.47,0.192,.,0.031,0.000,.,.,.,.,.,.,.,.,.,.,.,2014,2.014,.,.,.,.,.,.,.,
2011-2011,S7,25-Jul-2011,0,0.95,1.06,0.22,0.348,.,0.032,1.778,.,.,.,.,.,.,.,.,.,.,.,2231,2.218,.,.,.,.,.,.,.,
2011-2012,S7,25-Jul-2011,1,0.84,0.92,0.17,0.360,.,0.027,2.233,.,.,.,.,.,.,.,.,.,.,.,2231,2.217,.,.,.,.,.,.,.,
2011-2013,S7,25-Jul-2011,2,0.89,0.99,0.19,0.437,.,0.029,1.342,.,.,.,.,.,.,.,.,.,.,.,2235,2.221,.,.,.,.,.,.,.,
2011-0127,E5,27-Jul-2011,0,4.32,4.82,0.95,0.269,.,0.002,1.958,.,.,.,.,.,.,.,.,.,.,.,107,0.096,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0128,E5,27-Jul-2011,1,3.99,4.66,1.27,0.249,.,0.002,2.334,.,.,.,.,.,.,.,.,.,.,.,107,0.095,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0129,E5,27-Jul-2011,3,3.98,4.62,1.23,0.438,.,0.003,0.095,.,.,.,.,.,.,.,.,.,.,.,108,0.092,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0130,E5,27-Jul-2011,5,3.59,4.62,1.97,0.195,.,0.003,0.000,.,.,.,.,.,.,.,.,.,.,.,336,0.098,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2011-0131,E5,27-Jul-2011,8,1.14,1.69,1.04,0.246,.,0.008,0.122,.,.,.,.,.,.,.,.,.,.,.,482,0.101,.,.,.,.,.,.,.,
2011-0132,E5,27-Jul-2011,10,1.77,2.40,1.20,0.275,.,0.019,2.082,.,.,.,.,.,.,.,.,.,.,.,542,0.117,.,.,.,.,.,.,.,
2011-0133,E6,27-Jul-2011,0,3.25,3.72,0.91,0.232,.,0.001,0.798,.,.,.,.,.,.,.,.,.,.,.,118,0.100,.,.,.,.,.,.,.,
2011-0134,E6,27-Jul-2011,1,3.21,3.71,0.94,0.232,.,0.002,1.279,.,.,.,.,.,.,.,.,.,.,.,123,0.103,.,.,.,.,.,.,.,
2011-0135,E6,27-Jul-2011,2,3.49,4.03,1.02,0.473,.,0.002,0.116,.,.,.,.,.,.,.,.,.,.,.,125,0.104,.,.,.,.,.,.,.,
2011-3105,NE14,28-Jul-2011,0,.,.,.,.,.,.,.,11.500,.,.,.,.,.,.,.,.,.,300,.,.,.,.,769.90,194.60,27.80,17.61,13.4,
2011-0503,NE14,28-Jul-2011,1,.,.,.,0.160,.,0.030,0.020,7.800,.,.,.,.,0.06,18.4,.,167.50,.,298,1563,1.822,.,.,802.80,204.30,26.80,15.55,11.6,
2011-3106,NE14,28-Jul-2011,3,.,.,.,.,.,.,.,7.400,.,.,.,.,.,.,.,.,.,245,.,.,.,.,764.40,195.20,27.00,16.81,13.5,
2011-3107,NE14,28-Jul-2011,5,.,.,.,.,.,.,.,6.700,.,.,.,.,.,.,.,.,.,227,.,.,.,.,766.30,194.70,26.70,16.76,13.4,
2011-0505,NE14,28-Jul-2011,7,.,.,.,0.140,.,0.030,0.010,7.400,.,.,.,.,0.14,68.8,.,228.70,.,326,1568,1.867,.,.,831.60,206.50,27.10,15.96,12.3,
2011-3108,NE14,28-Jul-2011,8,.,.,.,.,.,.,.,6.800,.,.,.,.,.,.,.,.,.,236,.,.,.,.,786.20,197.40,27.20,16.88,14.1,
2011-3109,NE14,28-Jul-2011,12,.,.,.,.,.,.,.,6.800,.,.,.,.,.,.,.,.,.,214,.,.,.,.,813.60,204.60,28.60,17.54,16.3,
2011-0504,NE14,28-Jul-2011,16,.,.,.,0.170,.,0.030,2.540,8.400,.,.,.,.,0.18,40.5,.,270.70,.,349,1794,2.142,.,.,956.10,236.10,31.60,17.59,24.1,
2011-0299,Toolik Main,29-Jul-2011,0,1.05,1.14,0.18,1.574,.,0.026,0.311,.,.,.,.,.,.,.,.,.,.,.,739,0.714,.,.,.,.,.,.,.,
2011-0300,Toolik Main,29-Jul-2011,1,1.08,1.18,0.18,0.370,.,0.024,2.725,.,.,.,.,.,.,.,.,.,.,.,739,0.714,.,.,.,.,.,.,.,
2011-0301,Toolik Main,29-Jul-2011,3,0.88,1.02,0.26,0.053,.,0.025,0.758,.,.,.,.,.,.,.,.,.,.,.,737,0.711,.,.,.,.,.,.,.,
2011-0302,Toolik Main,29-Jul-2011,5,1.18,1.24,0.12,0.094,.,0.027,0.882,.,.,.,.,.,.,.,.,.,.,.,742,0.714,.,.,.,.,.,.,.,
2011-0303,Toolik Main,29-Jul-2011,8,1.71,1.92,0.40,0.095,.,0.030,0.000,.,.,.,.,.,.,.,.,.,.,.,878,0.704,.,.,.,.,.,.,.,
2011-0304,Toolik Main,29-Jul-2011,12,0.94,1.19,0.47,0.479,.,0.028,0.988,.,.,.,.,.,.,.,.,.,.,.,955,0.714,.,.,.,.,.,.,.,
2011-0305,Toolik Main,29-Jul-2011,16,0.56,0.78,0.41,0.816,.,0.029,0.657,.,.,.,.,.,.,.,.,.,.,.,985,0.717,.,.,.,.,.,.,.,
2011-0306,Toolik Main,29-Jul-2011,19,0.46,0.68,0.42,0.876,.,0.031,1.353,.,.,.,.,.,.,.,.,.,.,.,1026,0.731,.,.,.,.,.,.,.,
2011-0300.1,Toolik Main - Dup,29-Jul-2011,1,1.04,1.13,0.18,0.148,.,0.025,3.626,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-0136,E5,01-Aug-2011,0,5.61,6.36,1.43,0.266,.,0.042,2.391,.,.,.,.,.,.,.,.,.,.,.,129,0.108,.,.,.,.,.,.,.,
