SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
,Toolik,16-Sep-10,0.5,0.51,10:53,7.7,9.23,86.20,7.56,99.2,10.56,.,0.03,2.22,19,.,2,.,
,Toolik,16-Sep-10,1.00,1.02,10:54,7.7,9.22,86.10,7.55,99,10.55,.,0.03,2.18,12,.,2,.,
,Toolik,16-Sep-10,1.50,1.51,10:55,7.7,9.22,85.90,7.54,99.1,10.56,.,0.02,2.13,10,.,2,.,
,Toolik,16-Sep-10,2.00,1.98,10:55,7.7,9.21,86.10,7.54,98.9,10.54,.,0.03,2.36,12,.,2,.,
,Toolik,16-Sep-10,3.00,2.99,10:56,7.6,9.2,86.10,7.54,98.8,10.54,.,0.03,2.47,7,.,2,.,
,Toolik,16-Sep-10,4.00,3.99,10:56,7.6,9.19,86.10,7.54,98.8,10.53,.,0.03,2.33,5,.,2,.,
,Toolik,16-Sep-10,5.00,4.95,10:57,7.6,9.19,85.90,7.52,98.5,10.5,.,0.03,2.38,4,.,2,.,
,Toolik,16-Sep-10,6.00,5.97,10:57,7.6,9.18,86.30,7.53,98.5,10.5,.,0.03,2.39,3,.,2,.,
,Toolik,16-Sep-10,7.00,7.07,10:58,7.6,9.17,86.10,7.54,98.3,10.49,.,0.03,2.59,3,.,2,.,
,Toolik,16-Sep-10,8.00,7.97,10:58,7.6,9.11,86.00,7.52,97.8,10.45,.,0.03,2.51,1,.,2,.,
,Toolik,16-Sep-10,9.00,8.97,10:59,7.6,9.09,85.90,7.52,97.6,10.43,.,0.03,2.37,,,2,.,
,Toolik,16-Sep-10,10.00,9.95,11:00,7.6,9.03,86.10,7.47,96.5,10.33,.,0.03,2.38,,,2,.,
,Toolik,16-Sep-10,10.50,10.45,11:01,7.6,8.99,85.60,7.42,95.5,10.23,.,0.02,2.06,,,2,.,
,Toolik,16-Sep-10,11.00,10.94,11:01,7.6,8.97,85.50,7.41,95,10.19,.,0.03,2.27,,,2,.,
,Toolik,16-Sep-10,11.50,11.51,11:02,7.6,8.95,85.80,7.41,94.6,10.15,.,0.02,2.13,,,2,.,
,Toolik,16-Sep-10,12.00,12.04,11:03,7.6,8.83,85.10,7.37,93.3,10.03,.,0.02,1.90,,,2,.,
,Toolik,16-Sep-10,12.50,12.44,11:05,7.6,7.79,80.80,6.92,77,8.5,.,0.02,1.57,,,2,.,
,Toolik,16-Sep-10,13.00,12.92,11:07,7.5,6.59,78.50,6.77,68.8,7.82,.,0.02,1.41,,,2,.,
,Toolik,16-Sep-10,13.50,13.43,11:08,7.5,5.79,77.40,6.72,66.1,7.67,.,0.02,1.29,,,2,.,
,Toolik,16-Sep-10,14.00,13.94,11:09,7.5,5.46,77.50,6.7,64.6,7.56,.,0.02,1.26,,,2,.,
,Toolik,16-Sep-10,15.00,14.93,11:10,7.5,5.32,77.60,6.68,62.9,7.38,.,0.02,1.27,,,2,.,
,Toolik,16-Sep-10,16.0,15.9,11:11,7.5,5.16,77.80,6.66,60.3,7.11,.,0.02,1.28,,,2,.,
,Toolik,16-Sep-10,17.00,16.94,11:11,7.5,5.04,78.00,6.64,58.4,6.91,.,0.02,1.17,,,2,.,
,Toolik,16-Sep-10,18.00,17.93,11:12,7.5,4.97,78.30,6.62,55.6,6.59,.,0.02,1.35,,,2,.,
,Toolik,16-Sep-10,18.00,18.01,11:13,7.5,4.96,78.60,6.61,54.4,6.44,.,0.03,2.52,,,2,.,
,Fog 1,17-Sep-10,0.5,0.4,18:11,7.3,8.63,152.80,7.83,99.4,10.74,.,0.01,0.68,426,.,2,.,"Profile from Sally MacIntyre. Some ""Rounded Depth"" values from this cast not rounded, I fixed by rounding off to the nearest 0.5m"
,Fog 1,17-Sep-10,1.00,0.99,18:12,7.3,8.64,152.40,7.84,99.5,10.75,.,0.01,0.76,100,.,2,.,
,Fog 1,17-Sep-10,2.00,2.09,18:12,7.3,8.64,152.40,7.83,99.3,10.73,.,0.01,0.89,73,.,2,.,
,Fog 1,17-Sep-10,3.00,3.03,18:13,7.3,8.65,152.80,7.84,99.1,10.7,.,0.01,0.87,53,.,2,.,
,Fog 1,17-Sep-10,4,4,18:13,7.3,8.64,152.40,7.83,99,10.7,.,0.01,0.88,41,.,2,.,
,Fog 1,17-Sep-10,5.00,5.03,18:13,7.3,8.63,152.30,7.84,98.8,10.68,.,0.01,0.89,23,.,2,.,
,Fog 1,17-Sep-10,6.00,6.04,18:13,7.3,8.63,152.10,7.84,98.7,10.67,.,0.01,0.90,18,.,2,.,
,Fog 1,17-Sep-10,7.00,6.99,18:14,7.3,8.63,152.30,7.84,98.5,10.65,.,0.01,0.90,12,.,2,.,
,Fog 1,17-Sep-10,8.00,8.04,18:14,7.3,8.62,152.70,7.84,98.3,10.62,.,0.01,0.93,8,.,2,.,
,Fog 1,17-Sep-10,9.00,9.01,18:14,7.3,8.59,152.30,7.84,98.1,10.61,.,0.01,0.89,6,.,2,.,
,Fog 1,17-Sep-10,10.00,10.03,18:15,7.2,8.48,153.00,7.8,97.3,10.55,.,0.01,0.72,4,.,2,.,
,Fog 1,17-Sep-10,11.00,10.99,18:15,7.2,8.48,153.30,7.79,96.5,10.46,.,0.01,0.73,,.,2,.,
,Fog 1,17-Sep-10,12.00,12.26,18:16,7.2,6.93,170.10,7.25,72.3,8.15,.,0.01,0.70,,.,2,.,
,Fog 1,17-Sep-10,13.00,12.99,18:17,7.2,4.76,177.00,7.06,50.5,6.02,.,0.01,0.60,,.,2,.,
,Fog 1,17-Sep-10,14.00,13.97,18:19,7.2,4.16,179.10,6.99,40.3,4.88,.,0.49,51.37,,.,2,.,
,Fog 1,17-Sep-10,15.00,14.97,18:23,7.2,3.94,179.60,6.97,35.7,4.34,.,0.01,0.60,,.,2,.,
,Fog 1,17-Sep-10,16.00,16.03,18:24,7.1,3.73,180.60,6.92,28.1,3.43,.,0.01,0.61,,.,2,.,
,Fog 1,17-Sep-10,18.00,17.73,18:28,7.2,3.57,182.40,6.86,14.2,1.75,.,0.01,0.25,,.,2,.,
,Fog 2,17-Sep-10,0.30,0.31,16:22,7.5,9.13,155.10,7.9,98.9,10.56,.,0.01,0.66,672,.,2,.,"Profile from Sally MacIntyre. Some ""Rounded Depth"" values from this cast not rounded, I fixed by rounding off to the nearest 0.5m"
,Fog 2,17-Sep-10,0.50,0.48,16:24,7.5,9.13,155.10,7.91,98.8,10.55,.,0.01,0.62,629,.,2,.,
,Fog 2,17-Sep-10,1.00,0.98,16:24,7.5,9.13,155.00,7.89,98.7,10.53,.,0.01,0.74,258,.,2,.,
,Fog 2,17-Sep-10,1.50,1.49,16:26,7.4,9.13,155.00,7.93,98.6,10.52,.,0.01,0.83,66,.,2,.,
,Fog 2,17-Sep-10,2.00,1.98,16:27,7.4,9.12,155.00,7.9,98.5,10.51,.,0.02,0.94,221,.,2,.,
,Fog 2,17-Sep-10,3.00,2.94,16:28,7.4,9.13,155.10,7.9,98.3,10.49,.,0.02,1.14,129,.,2,.,
,Fog 2,17-Sep-10,4.00,3.93,16:28,7.4,9.12,155.10,7.9,98.1,10.48,.,0.02,1.27,92,.,2,.,
,Fog 2,17-Sep-10,5.00,4.93,16:29,7.4,9.1,155.60,7.9,98.1,10.48,.,0.02,1.34,66,.,2,.,
,Fog 2,17-Sep-10,6.00,5.94,16:29,7.4,9.09,155.60,7.9,97.9,10.46,.,0.02,1.42,51,.,2,.,
,Fog 2,17-Sep-10,7.00,6.94,16:30,7.4,9.1,155.10,7.91,97.9,10.46,.,0.02,1.37,34,.,2,.,
,Fog 2,17-Sep-10,8.00,7.92,16:30,7.4,9.09,155.00,7.94,97.8,10.44,.,0.02,1.47,26,.,2,.,
,Fog 2,17-Sep-10,9.00,8.92,16:31,7.4,9.09,155.40,7.93,97.7,10.44,.,0.02,1.42,20,.,2,.,
,Fog 2,17-Sep-10,10.00,9.92,16:32,7.4,9.08,155.40,7.93,97.5,10.42,.,0.02,1.56,15,.,2,.,
,Fog 2,17-Sep-10,11.00,10.91,16:32,7.4,9.08,155.30,7.92,97.3,10.4,.,0.02,1.52,10,.,2,.,
,Fog 2,17-Sep-10,12.00,11.93,16:33,7.4,9.07,155.40,7.9,96.9,10.36,.,0.02,1.37,8,.,2,.,
,Fog 2,17-Sep-10,12.50,12.37,16:34,7.4,7.68,167.80,7.04,44.8,4.95,.,0.02,1.31,7,.,2,.,
,Fog 2,17-Sep-10,13.00,12.85,16:36,7.3,6.3,171.50,6.98,37.4,4.28,.,0.02,1.21,7,.,2,.,
,Fog 2,17-Sep-10,14.00,13.89,16:38,7.3,5.27,173.60,6.92,31.2,3.67,.,0.01,1.00,4,.,2,.,
,Fog 2,17-Sep-10,15.00,14.87,16:39,7.3,5.03,173.80,6.89,27.6,3.26,.,0.01,0.86,4,.,2,.,
,Fog 2,17-Sep-10,16.00,15.84,16:40,7.3,4.78,174.50,6.85,22.5,2.68,.,0.01,0.76,1,.,2,.,
,Fog 2,17-Sep-10,17.00,16.96,16:42,7.3,4.63,174.80,6.81,11.4,1.36,.,0.01,0.71,,.,2,.,
,Fog 2,17-Sep-10,18.00,17.96,16:43,7.3,4.58,176.40,6.83,8.8,1.05,.,0.01,0.68,,.,2,.,
,Fog 2,17-Sep-10,18.50,18.29,16:43,7.3,4.54,180.60,6.86,9.4,1.12,.,0.00,0.69,,.,2,.,
,Toolik Southwest Basin,18-Sep-10,0.50,0.42,15:34,7.3,8.91,88.40,7.52,99.6,10.69,.,0.01,1.05,577,.,2,.,"Profile from Sally MacIntyre. Some ""Rounded Depth"" values from this cast not rounded, I fixed by rounding off to the nearest 0.5m"
,Toolik Southwest Basin,18-Sep-10,1.00,1.07,15:35,7.3,8.88,88.40,7.55,99.2,10.65,.,0.02,1.32,35,.,2,.,
,Toolik Southwest Basin,18-Sep-10,2.00,2.04,15:37,7.3,8.88,88.40,7.62,98.9,10.63,.,0.02,1.38,194,.,2,.,
,Toolik Southwest Basin,18-Sep-10,3.00,3.04,15:37,7.3,8.82,88.50,7.55,98.6,10.61,.,0.02,1.76,92,.,2,.,
,Toolik Southwest Basin,18-Sep-10,4,4,15:38,7.3,8.79,88.90,7.58,98.4,10.6,.,0.02,1.98,54,.,2,.,
,Toolik Southwest Basin,18-Sep-10,5.00,4.97,15:39,7.3,8.78,88.70,7.58,98.3,10.58,.,0.02,2.15,25,.,2,.,
,Toolik Southwest Basin,18-Sep-10,6.00,5.98,15:39,7.3,8.7,88.80,7.56,97.7,10.55,.,0.03,2.22,17,.,2,.,
,Toolik Southwest Basin,18-Sep-10,7.00,6.97,15:40,7.3,8.62,89.50,7.57,97.3,10.52,.,0.02,2.10,10,.,2,.,
,Toolik Southwest Basin,18-Sep-10,8.00,7.93,15:40,7.2,8.53,89.90,7.55,97,10.51,.,0.02,2.08,7,.,2,.,
,Toolik Southwest Basin,18-Sep-10,9.00,8.95,15:42,7.2,5.62,80.90,6.96,79.9,9.31,.,0.02,2.10,4,.,2,.,
,Toolik Southwest Basin,18-Sep-10,9.00,8.97,15:43,7.2,5.54,81.10,6.94,78.5,9.16,.,0.03,2.37,4,.,2,.,
,Toolik Southwest Basin,18-Sep-10,10.00,9.97,15:44,7.2,4.53,83.10,6.9,73.6,8.82,.,0.03,2.35,3,.,2,.,
,Toolik Southwest Basin,18-Sep-10,11.0,10.6,15:47,7.2,4.44,83.30,6.88,71.9,8.64,.,0.02,1.96,2,.,2,.,
,Toolik Southwest Basin,18-Sep-10,12.00,11.95,15:48,7.2,3.9,87.50,6.83,67.3,8.19,.,0.02,1.51,1,.,2,.,
,Toolik Southwest Basin,18-Sep-10,13.0,12.9,15:52,7.2,3.64,90.60,6.78,60.1,7.37,.,0.02,1.31,,,2,.,
,Toolik Southwest Basin,18-Sep-10,13.00,12.94,15:51,7.2,3.67,90.20,6.78,61.4,7.52,.,0.02,1.28,,,2,.,
,Toolik Southwest Basin,18-Sep-10,14.00,13.94,15:53,7.2,3.49,92.00,6.76,56.5,6.95,.,0.02,1.17,,,2,.,
,Toolik Southwest Basin,18-Sep-10,15.00,14.87,15:54,7.2,3.43,92.40,6.76,55.4,6.83,.,0.01,1.10,,,2,.,
,Toolik Southwest Basin,18-Sep-10,15.00,14.92,15:53,7.2,3.44,92.70,6.74,55.6,6.85,.,0.01,1.11,,,2,.,
,Toolik Southwest Basin,18-Sep-10,16.00,15.92,15:55,7.2,3.36,93.20,6.75,52.9,6.53,.,0.01,1.03,,,2,.,
,Toolik Southwest Basin,18-Sep-10,17.00,16.93,15:56,7.2,3.37,93.00,6.76,53.1,6.56,.,0.01,1.06,,,2,.,
,Toolik Southwest Basin,18-Sep-10,18.00,17.93,15:56,7.2,3.3,93.90,6.74,50.7,6.28,.,0.01,0.95,,,2,.,
,Toolik Southwest Basin,18-Sep-10,19.00,18.79,15:57,7.2,3.28,94.30,6.77,48.5,6,.,0.01,0.92,,,2,.,
,Toolik Southwest Basin,18-Sep-10,20.00,20.17,15:58,7.2,3.27,94.30,6.72,47.4,5.88,.,0.01,0.92,,,2,.,
,Toolik Southwest Basin,18-Sep-10,21.00,21.05,15:59,7.2,3.28,94.50,6.73,46,5.7,.,0.01,0.96,,,2,.,
,Toolik Southwest Basin,18-Sep-10,22.00,22.16,16:06,7.1,3.24,94.80,6.79,43.7,5.42,.,0.01,0.93,,,2,.,
,Toolik Southwest Basin,18-Sep-10,23.50,23.43,16:06,7.1,3.23,94.50,6.77,40.4,5.01,.,0.01,0.95,,,2,.,
,Toolik Southwest Basin,18-Sep-10,25.00,24.58,16:07,7.1,3.21,95.60,6.74,37,4.59,.,0.00,0.94,,,2,.,
2010-2176,Toolik,24-Sep-10,0,0.05,10:50,7.4,6.5,86.00,7.4,94.3,10.74,.,0.02,0.82,374,.,.,5,"Profile from Sally MacIntyre. Some ""Rounded Depth"" values from this cast not rounded, I fixed by rounding off to the nearest 0.5m"
,Toolik,24-Sep-10,0.1,0.08,10:51,7.4,6.51,86.20,7.42,93.7,10.67,.,0.02,1.23,345,.,.,5,
,Toolik,24-Sep-10,0.5,0.5,10:52,7.4,6.53,86.10,7.41,94.1,10.71,.,0.02,1.49,210,.,.,5,
2010-2177,Toolik,24-Sep-10,1,0.95,10:52,7.4,6.53,86.10,7.49,94.1,10.71,.,0.02,1.75,57,.,.,5,
,Toolik,24-Sep-10,2.00,2.02,10:54,7.3,6.53,86.10,7.47,94,10.7,.,0.02,2.10,53,.,.,5,
2010-2178,Toolik,24-Sep-10,3,2.84,10:55,7.3,6.53,86.10,7.52,93.8,10.68,.,0.03,2.24,29,.,.,5,
,Toolik,24-Sep-10,4.0,3.9,10:56,7.3,6.54,86.00,7.46,93.7,10.67,.,0.03,2.46,17,.,.,5,
2010-2179,Toolik,24-Sep-10,5,4.87,10:57,7.3,6.53,85.80,7.46,93.5,10.64,.,0.03,2.40,10,.,.,5,
,Toolik,24-Sep-10,6.00,5.78,11:00,7.3,6.52,86.20,7.45,93.2,10.61,.,0.03,2.28,7,.,.,5,
,Toolik,24-Sep-10,7.00,6.92,11:02,7.3,6.53,86.20,7.44,93.1,10.59,.,0.03,2.39,4,.,.,5,
2010-2180,Toolik,24-Sep-10,8,7.86,11:03,7.3,6.53,86.00,7.47,93,10.59,.,0.03,2.38,2,.,.,5,
,Toolik,24-Sep-10,9.00,8.79,11:03,7.2,6.52,86.10,7.45,92.9,10.58,.,0.03,2.59,2,.,.,5,
,Toolik,24-Sep-10,10.00,9.86,11:04,7.2,6.46,85.70,7.4,91.5,10.44,.,0.03,2.41,1,.,.,5,
,Toolik,24-Sep-10,11.00,10.92,11:06,7.2,6.44,85.60,7.4,91.4,10.43,.,0.03,2.39,,.,.,5,
2010-2181,Toolik,24-Sep-10,12,11.82,11:07,7.2,6.4,85.90,7.32,90.7,10.36,.,0.03,2.50,,.,.,5,
,Toolik,24-Sep-10,13.0,12.9,11:08,7.2,6.35,85.40,7.32,89.2,10.2,.,0.03,2.39,,.,.,5,
,Toolik,24-Sep-10,14.00,13.83,11:09,7.2,6.3,84.90,7.29,87.9,10.07,.,0.03,2.24,,.,.,5,
,Toolik,24-Sep-10,15.00,14.89,11:10,7.2,6.3,84.90,7.28,87.6,10.03,.,0.03,2.30,,.,.,5,
2010-2182,Toolik,24-Sep-10,16,15.83,11:11,7.2,6.31,85.20,7.28,87.6,10.02,.,0.03,2.34,,.,.,5,
,Toolik,24-Sep-10,17.00,16.88,11:12,7.2,6.24,84.40,7.23,85.5,9.8,.,0.02,2.16,,.,.,5,
,Toolik,24-Sep-10,18.00,17.86,11:15,7.2,5.75,81.40,6.95,72.3,8.39,.,0.02,1.89,,.,.,5,
,Toolik,24-Sep-10,19.00,18.85,11:17,7.2,5.26,79.00,6.75,58.3,6.85,.,0.02,1.32,,.,.,5,
2010-2183,Toolik,24-Sep-10,20,20,.,.,.,.,.,.,.,.,.,.,.,.,.,5,
,Toolik,8-May-11,1.5,1.52,16:40:26,7.8,0.65,95.7,6.88,89.3,10.57,,0.0366,3.31,,,,,"* PAR data bad - sensor tied to hydrolab for under-ice operation; gwk, 23 July 15"
,Toolik,8-May-11,2,1.98,16:41:53,7.8,1.1,95.5,6.9,89.1,10.41,,0.0371,3.38,,,,,
,Toolik,8-May-11,6,6.01,16:48:18,7.7,2.74,93.2,6.87,81,9.05,,0.0162,1.2,,,,,
,Toolik,8-May-11,7,6.96,16:49:46,7.7,2.77,92.9,6.86,79.6,8.89,,0.0162,1.17,,,,,
,Toolik,8-May-11,8,7.99,16:51:21,7.7,2.81,92.8,6.83,73.5,8.19,,0.0156,1.13,,,,,
,Toolik,8-May-11,9,9.01,16:53:01,7.6,2.82,93.1,6.8,69.3,7.73,,0.0154,1.1,,,,,
,Toolik,8-May-11,10,10,16:54:09,7.6,2.83,93.7,6.78,66.9,7.46,,0.0155,1.12,,,,,
,Toolik,8-May-11,11,10.99,16:55:30,7.6,2.83,94.7,6.77,65.2,7.26,,0.0158,1.14,,,,,
,Toolik,8-May-11,12,12,16:56:43,7.6,2.85,95.1,6.77,63.6,7.09,,0.015,1.06,,,,,
,Toolik,8-May-11,13,12.97,16:57:55,7.6,2.84,96.5,6.77,63.6,7.08,,0.0161,1.18,,,,,
,Toolik,8-May-11,14,13.97,16:59:02,7.6,2.86,96.4,6.76,62.8,6.99,,0.0151,1.07,,,,,
,Toolik,8-May-11,15,14.99,17:00:36,7.5,2.91,96.4,6.76,59.2,6.58,,0.0157,1.12,,,,,
,Toolik,8-May-11,16,15.99,17:01:52,7.5,2.97,96.9,6.75,56.8,6.31,,0.0151,1.07,,,,,
,Toolik,8-May-11,17,16.96,17:03:17,7.5,3.03,96.9,6.74,55,6.1,,0.0149,1.05,,,,,
,Toolik,8-May-11,18,18,17:05:40,7.5,3.13,97,6.65,38.6,4.26,,0.0144,1.01,,,,,
,Toolik,8-May-11,19,18.95,17:07:55,7.4,3.2,99.4,6.6,19.5,2.15,,0.0145,1.01,,,,,
,Toolik,8-May-11,20,20.01,17:10:23,7.4,3.31,113.8,6.73,3.9,0.43,,0.0136,0.91,,,,,
,Toolik,8-May-11,21,20.98,17:12:20,7.4,3.41,141.8,7.04,1,0.11,,0.0167,1.23,,,,,
2011-0008,NE14,12-May-11,1,1.00,13:00,.,0.44,200.60,7.99,.,.,.,.,.,.,.,.,.,
2011-0009,NE14,12-May-11,3,3.00,13:10,.,2.21,200.00,7.92,.,.,.,.,.,.,.,.,.,
2011-0010,NE14,12-May-11,5,5.00,13:30,.,2.97,200.00,7.85,.,.,.,.,.,.,.,.,.,
2011-0011,NE14,12-May-11,8,8.00,13:40,.,3.42,199.00,7.68,.,.,.,.,.,.,.,.,.,
2011-0012,NE14,12-May-11,12,12.00,13:50,.,3.52,203.80,7.41,.,.,.,.,.,.,.,.,.,
2011-0013,NE14,12-May-11,16,16.00,14:00,.,3.47,211.30,7.3,.,.,.,.,.,.,.,.,.,
2011-0014,NE14,12-May-11,19,19.00,14:10,.,3.15,255.90,7.33,.,.,.,.,.,.,.,.,.,
,Toolik,13-May-11,1,0.99,11:35:43,8.1,0.14,95.3,6.46,88.7,10.65,,0.0241,2.06,,,,,"* PAR data bad - sensor tied to hydrolab for under-ice operation; gwk, 23 July 15"
,Toolik,13-May-11,2,2,11:38:01,8.1,1.06,95.3,6.68,90.6,10.6,,0.0434,4.08,,,,,
,Toolik,13-May-11,3,2.99,11:40:01,8,1.9,94.5,6.81,89.5,10.23,,0.0289,2.56,,,,,
,Toolik,13-May-11,4,3.99,11:42:15,8,2.43,94.1,6.88,85.9,9.68,,0.0193,1.5,,,,,
,Toolik,13-May-11,5,5,11:43:49,8,2.62,93.7,6.92,84.5,9.47,,0.0181,1.39,,,,,
,Toolik,13-May-11,6,5.98,11:45:27,7.9,2.72,93.1,6.95,83.1,9.29,,0.0175,1.31,,,,,
,Toolik,13-May-11,7,7.02,11:47:56,7.9,2.78,92.9,6.98,81.6,9.11,,0.0159,1.18,,,,,
,Toolik,13-May-11,8,7.99,11:49:57,7.9,2.81,92.6,6.99,78.6,8.76,,0.0163,1.2,,,,,
,Toolik,13-May-11,9,9,11:52:05,7.8,2.84,93.1,6.93,69.5,7.74,,0.0156,1.12,,,,,
,Toolik,13-May-11,10,10.01,11:53:52,7.8,2.83,93.7,6.92,67.1,7.47,,0.0158,1.15,,,,,
,Toolik,13-May-11,11,10.98,11:55:37,7.8,2.84,94.6,6.92,65.8,7.33,,0.0159,1.16,,,,,
,Toolik,13-May-11,12,11.97,11:57:23,7.7,2.85,95.1,6.91,64.4,7.18,,0.0156,1.12,,,,,
,Toolik,13-May-11,13,13,12:00:02,7.7,2.86,95.8,6.92,64.9,7.23,,0.015,1.08,,,,,
,Toolik,13-May-11,14,13.99,12:02:13,7.7,2.89,96.5,6.92,62,6.9,,0.0152,1.09,,,,,
,Toolik,13-May-11,15,15.01,12:05:09,7.6,2.93,96.5,6.89,58.1,6.46,,0.0154,1.09,,,,,
,Toolik,13-May-11,16,15.97,12:07:22,7.6,2.97,97.1,6.88,55.2,6.13,,0.0151,1.07,,,,,
,Toolik,13-May-11,17,17.01,12:09:33,7.6,3.03,97.5,6.85,53.7,5.96,,0.0151,1.08,,,,,
,Toolik,13-May-11,18,17.98,12:11:53,7.6,3.1,97.3,6.83,45.9,5.07,,0.0149,1.05,,,,,
,Toolik,13-May-11,19,18.97,12:16:28,7.5,3.2,100.1,6.74,24.7,2.73,,0.0146,1.01,,,,,
,Toolik,13-May-11,20,20.05,12:19:08,7.5,3.32,116.3,6.86,3.6,0.39,,0.0139,0.95,,,,,
,Toolik,13-May-11,21,21,12:21:44,7.5,3.42,146.6,7.22,1.4,0.15,,0.017,1.29,,,,,
2011-0975,Horn Lake,3-Jun-11,0,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-0443,NE14,16-Jun-11,0,0.01,14:22,.,7.11,181.80,7.91,.,.,.,.,.,.,.,.,.,
2011-6042,NE14,16-Jun-11,1,1.00,13:44,.,7.07,181.80,7.91,.,.,.,.,.,.,.,.,.,
2011-0444,NE14,16-Jun-11,3,3.00,14:32,.,7.04,180.70,7.91,.,.,.,.,.,.,.,.,.,
2011-6043,NE14,16-Jun-11,5,5.00,13:47,.,6.82,179.80,7.9,.,.,.,.,.,.,.,.,.,
2011-6044,NE14,16-Jun-11,8,8.00,13:50,.,5.37,187.80,7.8,.,.,.,.,.,.,.,.,.,
2011-6045,NE14,16-Jun-11,12,12.00,13:54,.,4.09,212.90,7.52,.,.,.,.,.,.,.,.,.,
2011-0445,NE14,16-Jun-11,16,16.00,14:58,.,3.78,219.60,7.35,.,.,.,.,.,.,.,.,.,
2011-0231,Toolik,17-Jun-11,0,0,10:02,7.4,7.2,74.20,7.42,96.7,10.7,.,0.02,1.61,883,.,.,3.4,
,Toolik,17-Jun-11,0.5,0.48,10:05,7.4,7.16,74.40,7.42,96.7,10.71,.,0.02,1.83,533,.,.,3.4,
2011-0232,Toolik,17-Jun-11,1,0.99,10:07,7.4,6.77,74.00,7.42,96,10.74,.,0.02,1.89,371,.,.,3.4,
,Toolik,17-Jun-11,2,1.97,10:10,7.4,6.67,74.10,7.41,95.2,10.68,.,0.04,3.48,202,.,.,3.4,
2011-0233,Toolik,17-Jun-11,3,2.98,10:12,7.4,6.54,75.00,7.4,94.6,10.65,.,0.07,6.27,70,.,.,3.4,
,Toolik,17-Jun-11,4,3.98,10:13,7.3,6.37,75.00,7.39,93.5,10.56,.,0.07,6.29,37,.,.,3.4,
2011-0234,Toolik,17-Jun-11,5,4.99,10:15,7.3,6.03,75.20,7.36,90.9,10.36,.,0.06,5.38,16,.,.,3.4,
,Toolik,17-Jun-11,6,5.99,10:18,7.3,5.74,74.50,7.34,89.6,10.29,.,0.06,5.37,8,.,.,3.4,
,Toolik,17-Jun-11,7,7.03,10:19,7.3,5.65,74.50,7.34,89,10.24,.,0.05,5.01,4,.,.,3.4,
2011-0235,Toolik,17-Jun-11,8,8,10:20,7.3,5.4,75.30,7.31,87.1,10.07,.,0.05,4.56,2,.,.,3.4,
,Toolik,17-Jun-11,9,8.98,10:21,7.3,5.39,75.90,7.31,86.2,9.98,.,0.05,4.56,1,.,.,3.4,
,Toolik,17-Jun-11,10,9.95,10:23,7.3,5.35,75.20,7.31,86,9.97,.,0.05,4.31,,,.,3.4,
,Toolik,17-Jun-11,11,10.96,10:24,7.3,5.25,76.00,7.29,84.8,9.86,.,0.04,4.00,,,.,3.4,
2011-0236,Toolik,17-Jun-11,12,11.99,10:26,7.3,4.56,78.50,7.24,79.8,9.44,.,0.04,3.30,,,.,3.4,
,Toolik,17-Jun-11,13,13.01,10:27,7.3,4.54,78.80,7.23,77.8,9.22,.,0.04,3.15,,,.,3.4,
,Toolik,17-Jun-11,14,14,10:28,7.2,4.37,80.70,7.21,75.9,9.03,.,0.03,3.11,,,.,3.4,
,Toolik,17-Jun-11,15,14.99,10:30,7.2,4.32,81.00,7.21,75,8.93,.,0.03,2.95,,,.,3.4,
2011-0237,Toolik,17-Jun-11,16,16.01,10:31,7.2,4.15,83.60,7.18,71.6,8.57,.,0.03,2.87,,,.,3.4,
,Toolik,17-Jun-11,17,16.99,10:33,7.2,4.08,84.10,7.17,70.6,8.47,.,0.03,2.19,,,.,3.4,
,Toolik,17-Jun-11,18,17.96,10:34,7.2,3.99,85.10,7.16,69.3,8.32,.,0.03,2.10,,,.,3.4,
2011-0238,Toolik,17-Jun-11,19,18.98,10:35,7.2,3.95,86.40,7.16,67.7,8.14,.,0.03,2.21,,,.,3.4,
,Toolik,17-Jun-11,19.5,19.49,10:37,7.2,3.86,87.70,7.14,63.1,7.61,.,0.06,6.04,,,.,3.4,
,I1,21-Jun-11,0,0.02,11:32,7.3,11.04,28.60,7.4,106.1,10.71,.,0.02,1.11,411,.,.,2.1,
,I1,21-Jun-11,0.5,0.53,11:34,7.2,10.93,28.80,7.38,106.2,10.75,.,0.02,1.14,374,.,.,2.1,
2011-2076,I1,21-Jun-11,1,1.02,11:35,7.2,10.95,28.80,7.34,105.9,10.7,.,0.02,1.56,236,.,.,2.1,
,I1,21-Jun-11,2,1.99,11:37,7.2,10.68,28.80,7.31,105.3,10.72,.,0.04,3.45,121,.,.,2.1,
,I1,21-Jun-11,3,3.01,11:38,7.2,10.31,28.40,7.28,104.2,10.7,.,0.06,5.56,64,.,.,2.1,
2011-2077,I1,21-Jun-11,4,4,11:39,7.2,9.25,28.60,7.21,103.1,10.86,.,0.07,7.22,34,.,.,2.1,Metalimnion
