SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2003-0596,I2,24-Jun-2003,1,.,2.16,.,0.000,.,0.036,0.178,.,.,0.185,0.058,3.920,0.13,36.80,2.63,353.93,29.47,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0597,I2,24-Jun-2003,3,.,2.86,.,0.003,.,0.036,0.509,.,.,0.214,0.063,4.665,0.15,39.27,2.80,436.03,36.30,.,.,.,.,.,.,.,.,.,.,
2003-0598,I3,24-Jun-2003,1,.,0.72,.,0.026,.,0.034,0.093,11.240,14.579,0.036,0.033,0.095,0.00,46.76,3.34,479.40,39.91,.,.,.,.,.,.,.,.,.,.,
2003-0599,I3,24-Jun-2003,3,.,1.29,.,0.000,.,0.038,0.165,11.277,14.724,0.167,0.027,4.341,0.14,48.28,3.45,645.48,53.74,.,.,.,.,.,.,.,.,.,.,
2003-0600,I4,24-Jun-2003,1,.,1.86,.,0.006,.,0.035,0.057,23.912,28.574,0.254,0.076,5.502,0.18,65.30,4.66,712.80,59.35,.,.,.,.,.,.,.,.,.,.,
2003-0601,I4,24-Jun-2003,3,.,4.13,.,0.000,.,0.038,0.070,9.986,15.611,0.130,0.067,1.973,0.06,78.80,5.63,868.34,72.30,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0602,I5,24-Jun-2003,1,.,2.23,.,0.002,.,0.034,0.067,14.367,.,0.222,0.069,4.741,0.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2003-0603,I5,24-Jun-2003,3,.,2.64,.,0.000,.,0.034,0.104,.,.,.,.,3.898,0.13,50.65,3.62,628.10,52.29,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0604,I6 Headwaters Lake,24-Jun-2003,1,.,0.83,.,0.000,.,.,0.084,19.237,21.584,0.162,0.037,3.877,0.13,32.88,2.35,316.28,26.33,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0605,I6 Headwaters Lake,24-Jun-2003,3,.,1.20,.,0.000,.,.,0.054,7.893,10.134,0.177,0.063,3.529,0.11,31.40,2.24,323.60,26.94,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0619,I Minus,25-Jun-2003,1,.,1.56,.,0.068,.,0.022,2.221,17.299,20.159,0.565,0.079,15.055,0.49,40.05,2.86,399.10,33.23,.,.,.,.,.,.,.,.,.,.,
2003-0620,I Minus,25-Jun-2003,3,.,1.92,.,0.081,.,0.023,1.893,12.070,14.608,0.158,0.074,2.615,0.08,35.55,2.54,320.25,26.66,.,.,.,.,.,.,.,.,.,.,
2003-0617,I Swamp,25-Jun-2003,1,.,0.92,.,0.046,.,0.005,0.151,12.228,14.444,.,0.044,.,0.00,31.05,2.22,301.65,25.11,.,.,.,.,.,.,.,.,.,.,PP below detection limit
2003-0618,I Swamp,25-Jun-2003,3,.,2.58,.,0.078,.,0.007,0.094,9.366,11.965,.,0.055,.,0.00,36.40,2.60,374.45,31.18,.,.,.,.,.,.,.,.,.,.,PP below detection limit
2003-0611,I6,25-Jun-2003,1,.,2.52,.,0.000,.,0.003,0.046,10.180,13.393,0.220,0.021,6.163,0.20,45.00,3.21,455.00,37.88,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0612,I6,25-Jun-2003,3,.,3.05,.,0.000,.,0.000,0.106,12.115,16.473,0.251,0.072,5.531,0.18,61.05,4.36,511.05,42.55,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
2003-0613,I7,25-Jun-2003,1,.,1.58,.,0.013,.,0.011,0.070,14.766,17.747,0.227,0.082,4.477,0.14,41.75,2.98,984.10,81.93,.,.,.,.,.,.,.,.,.,.,
2003-0614,I7,25-Jun-2003,3,.,2.24,.,0.052,.,0.000,0.113,13.757,16.662,0.215,0.084,4.056,0.13,40.70,2.91,418.10,34.81,.,.,.,.,.,.,.,.,.,.,
2003-0615,I8,25-Jun-2003,1,.,4.00,.,0.022,.,0.009,0.082,10.335,13.316,0.240,0.093,4.530,0.15,41.75,2.98,391.75,32.62,.,.,.,.,.,.,.,.,.,.,
2003-0616,I8,25-Jun-2003,3,.,3.97,.,0.024,.,0.015,0.110,10.669,14.874,0.284,0.104,5.584,0.18,58.90,4.21,587.85,48.94,.,.,.,.,.,.,.,.,.,.,
2003-0190,Toolik Main,27-Jun-2003,0,.,1.67,.,0.060,.,0.001,0.803,12.214,14.525,0.227,0.060,5.168,0.17,32.37,2.31,303.14,25.24,.,.,.,.,.,.,.,.,.,.,
2003-0191,Toolik Main,27-Jun-2003,1,.,4.00,.,0.057,.,0.000,0.789,11.999,16.336,0.390,0.077,9.699,0.31,60.73,4.34,480.23,39.98,.,.,.,.,.,.,.,.,.,.,
2003-0192,Toolik Main,27-Jun-2003,3,.,3.80,.,0.049,.,0.001,0.385,10.167,14.246,0.275,0.078,6.118,0.20,57.13,4.08,432.86,36.04,.,.,.,.,.,.,.,.,.,.,
2003-0193,Toolik Main,27-Jun-2003,5,.,3.93,.,0.099,.,0.003,0.671,13.384,17.196,.,.,5.585,0.18,53.40,3.81,411.37,34.25,.,.,.,.,.,.,.,.,.,.,
2003-0194,Toolik Main,27-Jun-2003,8,.,3.87,.,0.103,.,0.000,0.545,14.272,18.642,0.269,0.086,5.677,0.18,61.22,4.37,481.85,40.12,.,.,.,.,.,.,.,.,.,.,
2003-0195,Toolik Main,27-Jun-2003,12,.,3.02,.,0.060,.,0.003,0.924,11.669,14.905,0.239,0.079,4.962,0.16,45.32,3.24,365.74,30.45,.,.,.,.,.,.,.,.,.,.,
2003-0196,Toolik Main,27-Jun-2003,16,.,2.07,.,0.111,.,0.004,1.290,18.512,21.689,0.231,0.078,4.731,0.15,44.50,3.18,333.52,27.77,.,.,.,.,.,.,.,.,.,.,
,Toolik Main,27-Jun-2003,20,.,2.27,.,0.080,.,0.007,1.259,12.946,16.438,0.265,0.116,4.615,0.15,48.92,3.49,370.38,30.84,.,.,.,.,.,.,.,.,.,.,
,Fog 2,28-Jun-2003,1,.,,.,0.027,.,0.011,0.040,4.638,6.648,0.140,0.030,3.406,0.11,28.16,2.01,225.84,18.80,.,.,.,.,.,.,.,.,.,.,
,Fog 2,28-Jun-2003,3,.,0.86,.,0.000,.,0.010,0.075,7.160,9.470,0.130,0.019,3.442,0.11,32.33,2.31,259.93,21.62,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
,Fog 2,28-Jun-2003,5,.,1.32,.,0.039,.,0.008,0.038,11.046,13.796,0.140,0.029,3.442,0.11,38.50,2.75,293.57,24.44,.,.,.,.,.,.,.,.,.,.,
,Fog 2,28-Jun-2003,8,.,4.63,.,0.240,.,.,0.000,.,6.339,0.287,0.023,8.182,0.26,88.79,6.34,729.39,60.73,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,Fog 2,28-Jun-2003,12,.,.,.,.,.,0.024,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2003-0078,E5,30-Jun-2003,0,.,1.70,.,0.124,.,0.012,0.157,9.573,13.801,0.338,0.062,8.543,0.28,59.21,4.23,457.30,38.07,.,.,.,.,.,.,.,.,.,.,
2003-0079,E5,30-Jun-2003,1,.,.,.,0.142,.,0.015,0.100,9.625,14.730,0.366,0.100,8.266,0.27,71.50,5.10,543.12,45.22,.,.,.,.,.,.,.,.,.,.,
2003-0080,E5,30-Jun-2003,3,.,3.80,.,0.136,.,0.020,0.117,11.712,16.492,0.315,0.078,7.341,0.24,66.95,4.78,541.17,45.06,.,.,.,.,.,.,.,.,.,.,
2003-0081,E5,30-Jun-2003,5,.,5.17,.,0.358,.,0.022,0.245,8.154,12.771,0.313,0.081,7.203,0.23,64.67,4.62,503.70,41.94,.,.,.,.,.,.,.,.,.,.,
2003-0082,E5,30-Jun-2003,8,.,1.86,.,0.744,.,0.033,0.537,8.023,12.250,.,.,3.277,0.11,59.21,4.23,569.24,47.39,.,.,.,.,.,.,.,.,.,.,
2003-0083,E5,30-Jun-2003,9,.,1.96,.,0.705,.,0.034,0.406,8.561,13.016,0.370,0.100,8.358,0.27,62.40,4.45,527.06,43.88,.,.,.,.,.,.,.,.,.,.,
2003-0090,E6,30-Jun-2003,0,.,1.86,.,0.072,.,0.016,0.091,8.554,13.221,0.159,0.109,1.550,0.05,65.37,4.67,549.12,45.72,.,.,.,.,.,.,.,.,.,.,
2003-0091,E6,30-Jun-2003,1,.,1.66,.,0.114,.,0.018,0.082,9.386,14.917,0.175,0.095,2.498,0.08,77.46,5.53,644.04,53.62,.,.,.,.,.,.,.,.,.,.,
2003-0092,E6,30-Jun-2003,2,.,2.24,.,0.176,.,0.021,0.098,7.848,14.000,0.269,0.096,5.376,0.17,86.17,6.15,702.42,58.48,.,.,.,.,.,.,.,.,.,.,
,NE9B,01-Jul-2003,0,.,1.77,.,0.190,.,0.110,0.096,12.653,.,0.735,0.550,5.731,0.19,56.12,4.01,446.56,37.18,.,.,.,.,.,.,.,.,.,.,
,NE9B,01-Jul-2003,1,.,1.67,.,0.181,.,0.009,0.082,8.607,.,0.229,0.051,5.520,0.18,60.24,4.30,411.92,34.30,.,.,.,.,.,.,.,.,.,.,
,NE9B,01-Jul-2003,3,.,2.56,.,0.080,.,0.012,0.049,10.602,.,0.284,0.066,6.743,0.22,61.08,4.36,430.24,35.82,.,.,.,.,.,.,.,.,.,.,
,NE9B,01-Jul-2003,5,.,6.33,.,0.060,.,0.019,0.047,11.787,.,0.382,0.027,10.999,0.36,114.72,8.19,772.08,64.28,.,.,.,.,.,.,.,.,.,.,
,S11,02-Jul-2003,1,.,1.42,.,0.209,.,0.009,0.112,8.719,11.840,0.286,0.044,7.480,0.24,43.72,3.12,360.88,30.05,.,.,.,.,.,.,.,.,.,.,
,S11,02-Jul-2003,4,.,2.90,.,0.184,.,0.020,0.057,17.155,21.746,0.239,0.041,6.139,0.20,64.30,4.59,535.25,44.56,.,.,.,.,.,.,.,.,.,.,
,S11,02-Jul-2003,9,.,6.73,.,5.742,.,0.012,0.091,21.736,31.899,0.551,0.040,15.847,0.51,142.35,10.16,1012.25,84.28,.,.,.,.,.,.,.,.,.,.,
,S6,02-Jul-2003,1,.,1.62,.,0.229,.,0.006,0.973,8.882,13.528,0.206,0.017,5.862,0.19,65.08,4.65,453.68,37.77,.,.,.,.,.,.,.,.,.,.,
,S6,02-Jul-2003,3,.,1.24,.,0.265,.,0.114,0.861,8.681,13.082,0.327,0.021,9.468,0.31,61.64,4.40,431.32,35.91,.,.,.,.,.,.,.,.,.,.,
,S6,02-Jul-2003,5,.,1.18,.,0.286,.,0.018,0.900,11.897,14.833,0.249,0.021,7.064,0.23,41.12,2.94,305.36,25.42,.,.,.,.,.,.,.,.,.,.,
,S7,02-Jul-2003,0,.,1.76,.,0.197,.,0.010,1.992,17.131,19.821,0.166,0.011,4.799,0.15,37.68,2.69,340.72,28.37,.,.,.,.,.,.,.,.,.,.,
,S7,02-Jul-2003,1,.,0.93,.,0.409,.,0.010,1.959,14.663,17.293,0.132,0.009,3.828,0.12,36.84,2.63,323.80,26.96,.,.,.,.,.,.,.,.,.,.,
,S7,02-Jul-2003,2,.,1.32,.,0.381,.,0.009,2.042,11.798,15.159,0.169,0.023,4.521,0.15,47.08,3.36,365.48,30.43,.,.,.,.,.,.,.,.,.,.,
2003-0197,Toolik Main,04-Jul-2003,0,.,3.03,.,0.022,.,0.007,0.102,13.022,17.213,0.331,0.071,8.035,0.26,58.70,4.19,455.41,37.92,.,.,.,.,.,.,.,.,.,.,
2003-0198,Toolik Main,04-Jul-2003,1,.,2.94,.,0.141,.,0.009,0.074,10.701,15.903,0.313,0.068,7.572,0.24,72.86,5.20,577.35,48.07,.,.,.,.,.,.,.,.,.,.,
2003-0199,Toolik Main,04-Jul-2003,3,.,4.10,.,0.130,.,0.006,0.176,7.044,12.386,.,.,8.639,0.28,74.81,5.34,549.51,45.75,.,.,.,.,.,.,.,.,.,.,
2003-0200,Toolik Main,04-Jul-2003,5,.,3.53,.,0.094,.,0.006,0.204,4.098,8.742,0.246,0.061,5.723,0.18,65.05,4.64,487.37,40.58,.,.,.,.,.,.,.,.,.,.,
2003-0201,Toolik Main,04-Jul-2003,8,.,2.77,.,0.124,.,0.006,0.168,11.145,14.882,0.201,0.054,4.551,0.15,52.35,3.74,418.95,34.88,.,.,.,.,.,.,.,.,.,.,
2003-0202,Toolik Main,04-Jul-2003,12,.,1.49,.,0.159,.,0.004,0.492,5.631,8.462,0.173,0.042,4.046,0.13,39.65,2.83,427.57,35.60,.,.,.,.,.,.,.,.,.,.,
2003-0203,Toolik Main,04-Jul-2003,16,.,1.14,.,0.191,.,0.009,0.761,11.464,14.922,0.190,0.050,4.336,0.14,48.44,3.46,333.82,27.79,.,.,.,.,.,.,.,.,.,.,
,Toolik Main,04-Jul-2003,20,.,0.95,.,0.308,.,0.010,0.899,9.650,12.830,0.184,0.038,4.521,0.15,44.54,3.18,345.49,28.76,.,.,.,.,.,.,.,.,.,.,
2003-0093,E5,07-Jul-2003,0,.,2.01,.,0.109,.,0.007,0.230,10.721,14.981,0.269,0.074,6.047,0.20,59.67,4.26,429.56,35.76,.,.,.,.,.,.,.,.,.,.,
2003-0094,E5,07-Jul-2003,1,.,2.07,.,0.129,.,0.009,0.168,11.834,15.412,0.411,0.107,9.422,0.30,50.11,3.58,391.60,32.60,.,.,.,.,.,.,.,.,.,.,
2003-0095,E5,07-Jul-2003,3,.,2.17,.,0.125,.,0.005,0.269,9.595,14.894,0.316,0.067,7.711,0.25,74.23,5.30,471.74,39.28,.,.,.,.,.,.,.,.,.,.,
2003-0096,E5,07-Jul-2003,5,.,3.37,.,0.098,.,0.004,0.263,10.349,14.739,0.281,0.079,6.278,0.20,61.49,4.39,457.14,38.06,.,.,.,.,.,.,.,.,.,.,
2003-0097,E5,07-Jul-2003,8,.,2.37,.,0.457,.,0.019,0.430,7.900,11.924,0.386,0.093,9.052,0.29,56.36,4.02,466.75,38.86,.,.,.,.,.,.,.,.,.,.,
,E5,07-Jul-2003,10,.,1.29,.,0.574,.,0.021,0.494,27.237,30.934,0.341,0.098,7.526,0.24,51.79,3.70,442.16,36.81,.,.,.,.,.,.,.,.,.,.,
2003-0105,E6,07-Jul-2003,0,.,1.00,.,0.130,.,0.010,0.036,13.622,19.118,0.350,0.104,7.612,0.25,76.98,5.50,614.49,51.16,.,.,.,.,.,.,.,.,.,.,
2003-0106,E6,07-Jul-2003,1,.,1.43,.,0.159,.,0.005,0.023,12.126,16.620,0.357,0.111,7.619,0.25,62.95,4.49,532.46,44.33,.,.,.,.,.,.,.,.,.,.,
2003-0107,E6,07-Jul-2003,2,.,1.71,.,0.119,.,0.011,0.000,12.757,20.773,0.362,0.092,8.368,0.27,112.28,8.02,785.16,65.37,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,Fog 2,09-Jul-2003,0,.,0.73,.,0.114,.,0.012,0.000,.,4.367,0.085,0.008,2.402,0.08,61.16,4.37,360.57,30.02,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,Fog 2,09-Jul-2003,1,.,0.69,.,0.101,.,0.006,0.016,8.880,11.049,0.088,0.010,2.402,0.08,30.39,2.17,233.46,19.44,.,.,.,.,.,.,.,.,.,.,
,Fog 2,09-Jul-2003,3,.,0.75,.,0.132,.,0.006,0.006,10.784,14.383,0.118,0.016,3.161,0.10,50.41,3.60,372.13,30.98,.,.,.,.,.,.,.,.,.,.,
,Fog 2,09-Jul-2003,5,.,0.68,.,0.067,.,0.004,0.007,9.334,13.038,0.136,0.023,3.498,0.11,51.88,3.70,456.81,38.03,.,.,.,.,.,.,.,.,.,.,
,Fog 2,09-Jul-2003,8,.,1.76,.,0.029,.,0.013,0.007,9.504,12.719,0.172,0.015,4.846,0.16,45.04,3.22,321.93,26.80,.,.,.,.,.,.,.,.,.,.,
,Fog 2,09-Jul-2003,12,.,4.63,.,0.095,.,0.015,0.031,9.933,13.358,0.195,0.038,4.846,0.16,47.97,3.43,354.43,29.51,.,.,.,.,.,.,.,.,.,.,
,Fog 2,09-Jul-2003,16,.,2.54,.,0.377,.,0.015,0.000,13.382,17.016,0.360,0.021,10.493,0.34,50.90,3.63,355.15,29.57,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,Fog 4,09-Jul-2003,0,.,4.33,.,0.023,.,0.028,0.000,11.258,16.961,0.381,0.087,9.102,0.29,79.89,5.70,722.30,60.14,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,Fog 4,09-Jul-2003,1,.,4.77,.,0.671,.,0.027,0.022,17.026,23.749,0.503,0.081,13.064,0.42,94.17,6.72,848.21,70.62,.,.,.,.,.,.,.,.,.,.,
,Fog 4,09-Jul-2003,2,.,4.90,.,0.834,.,0.025,0.007,.,.,0.421,0.092,10.198,0.33,108.95,7.78,912.16,75.94,.,.,.,.,.,.,.,.,.,.,
2003-0204,Toolik Main,11-Jul-2003,0,.,1.70,.,0.000,.,0.012,0.000,10.132,13.730,.,0.038,.,0.00,50.40,3.60,437.45,36.42,.,.,.,.,.,.,.,.,.,.,"NH4, PO4, PP below detection limit"
2003-0205,Toolik Main,11-Jul-2003,1,.,1.65,.,0.000,.,0.012,0.000,11.053,14.756,0.123,0.040,2.566,0.08,51.86,3.70,406.91,33.88,.,.,.,.,.,.,.,.,.,.,"NH4, PO4 below detection limit"
2003-0206,Toolik Main,11-Jul-2003,3,.,1.86,.,0.000,.,0.011,0.000,11.321,15.581,0.083,0.036,1.449,0.05,59.67,4.26,422.00,35.13,.,.,.,.,.,.,.,.,.,.,"NH4, PO4 below detection limit"
2003-0207,Toolik Main,11-Jul-2003,5,.,3.37,.,0.000,.,0.010,0.000,10.819,16.683,0.069,0.034,1.076,0.03,82.14,5.86,558.85,46.53,.,.,.,.,.,.,.,.,.,.,"NH4, PO4 below detection limit"
2003-0208,Toolik Main,11-Jul-2003,8,.,3.37,.,0.000,.,0.011,0.000,11.063,15.079,0.090,0.042,1.483,0.05,56.26,4.02,412.12,34.31,.,.,.,.,.,.,.,.,.,.,"NH4, PO4 below detection limit"
2003-0209,Toolik Main,11-Jul-2003,12,.,2.11,.,0.221,.,0.014,0.339,12.104,17.340,.,0.039,.,0.00,73.35,5.24,469.23,39.07,.,.,.,.,.,.,.,.,.,.,PP below detection limit
2003-0210,Toolik Main,11-Jul-2003,16,.,0.86,.,0.276,.,0.012,0.651,.,.,0.050,0.035,0.467,0.02,41.12,2.94,323.59,26.94,.,.,.,.,.,.,.,.,.,.,
2003-0108,E5,14-Jul-2003,0,.,2.03,.,.,.,0.024,0.231,17.949,22.136,0.194,0.082,3.480,0.11,58.65,4.19,436.62,36.35,.,.,.,.,.,.,.,.,.,.,
2003-0109,E5,14-Jul-2003,1,.,2.21,.,.,.,0.011,0.303,13.304,17.687,0.119,0.069,1.550,0.05,61.40,4.38,426.85,35.54,.,.,.,.,.,.,.,.,.,.,
2003-0110,E5,14-Jul-2003,3,.,2.17,.,.,.,0.009,0.021,10.477,17.736,0.137,0.066,2.194,0.07,101.67,7.26,592.81,49.36,.,.,.,.,.,.,.,.,.,.,
2003-0111,E5,14-Jul-2003,5,.,1.96,.,.,.,0.009,0.065,10.050,14.204,0.224,0.073,4.665,0.15,58.19,4.15,435.48,36.26,.,.,.,.,.,.,.,.,.,.,
2003-0112,E5,14-Jul-2003,8,.,1.41,.,.,.,0.025,0.321,12.602,16.593,0.195,0.100,2.938,0.09,55.91,3.99,473.92,39.46,.,.,.,.,.,.,.,.,.,.,
2003-0113,E5,14-Jul-2003,9,.,1.62,.,.,.,0.029,0.341,12.797,18.357,0.319,0.113,6.391,0.21,77.87,5.56,670.83,55.85,.,.,.,.,.,.,.,.,.,.,
2003-0120,E6,14-Jul-2003,0,.,2.23,.,.,.,0.013,0.021,13.638,21.067,0.155,0.113,1.303,0.04,104.06,7.43,709.76,59.09,.,.,.,.,.,.,.,.,.,.,
2003-0121,E6,14-Jul-2003,1,.,1.95,.,.,.,0.012,0.000,10.251,15.885,0.379,0.101,8.611,0.28,78.91,5.63,646.90,53.86,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,E6,14-Jul-2003,3,.,2.02,.,.,.,0.011,0.000,10.984,16.238,0.369,0.104,8.208,0.27,73.59,5.25,619.32,51.56,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0791,I1,15-Jul-2003,1,.,1.08,.,0.153,.,0.003,0.000,11.500,.,0.251,0.084,5.183,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0792,I1,15-Jul-2003,5,.,1.20,.,0.094,.,0.002,0.000,10.482,.,0.358,0.093,8.218,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0793,I2,15-Jul-2003,1,.,1.15,.,0.188,.,0.004,0.013,15.947,18.346,0.146,0.095,1.550,0.05,33.60,2.40,426.32,35.49,.,.,.,.,.,.,.,.,.,.,
2003-0794,I2,15-Jul-2003,5,.,1.01,.,0.228,.,0.002,0.050,12.008,14.469,0.246,0.086,4.969,0.16,34.48,2.46,315.84,26.30,.,.,.,.,.,.,.,.,.,.,
2003-0795,I3,15-Jul-2003,1,.,0.82,.,0.124,.,0.005,0.000,10.242,14.691,0.164,0.091,2.261,0.07,62.32,4.45,464.84,38.70,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
,I3,15-Jul-2003,4,.,0.76,.,0.032,.,0.004,0.041,12.911,15.269,.,0.110,.,0.00,33.04,2.36,302.64,25.20,.,.,.,.,.,.,.,.,.,.,PP below detection limit
2003-0797,I4,15-Jul-2003,1,.,1.39,.,0.129,.,0.010,0.005,23.190,26.539,0.420,0.120,9.268,0.30,46.92,3.35,428.32,35.66,.,.,.,.,.,.,.,.,.,.,
2003-0798,I4,15-Jul-2003,4,.,1.38,.,0.142,.,0.007,0.040,13.629,16.474,0.281,0.070,6.532,0.21,39.84,2.84,357.40,29.76,.,.,.,.,.,.,.,.,.,.,
2003-0801,I6 Headwaters Lake,15-Jul-2003,1,.,0.76,.,0.056,.,0.000,0.000,10.091,.,0.095,0.017,2.423,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PO4, NO3 below detection limit"
2003-0802,I6 Headwaters Lake,15-Jul-2003,4,.,1.28,.,0.121,.,0.003,0.000,11.637,15.035,0.277,0.047,7.111,0.23,47.60,3.40,644.05,53.62,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0811,I Swamp,16-Jul-2003,1,.,0.46,.,0.116,.,0.022,0.024,.,.,0.147,0.032,3.582,0.12,24.24,1.73,262.92,21.89,.,.,.,.,.,.,.,.,.,.,
2003-0812,I Swamp,16-Jul-2003,2.5,.,0.58,.,0.080,.,0.020,0.019,9.373,.,0.165,0.063,3.161,0.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2003-0799,I5,16-Jul-2003,1,.,0.95,.,0.069,.,0.008,0.005,11.903,15.004,0.199,0.040,4.935,0.16,43.44,3.10,357.92,29.80,.,.,.,.,.,.,.,.,.,.,
2003-0800,I5,16-Jul-2003,4,.,0.88,.,0.080,.,0.000,0.002,10.139,18.096,0.254,0.053,6.237,0.20,111.45,7.96,736.85,61.35,.,.,.,.,.,.,.,.,.,.,
2003-0805,I6,16-Jul-2003,1,.,0.83,.,0.050,.,0.006,0.000,15.790,18.023,0.170,0.048,3.793,0.12,31.28,2.23,278.80,23.21,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0806,I6,16-Jul-2003,6,.,1.18,.,0.123,.,0.019,0.153,11.997,14.716,0.263,0.049,6.616,0.21,38.08,2.72,338.96,28.22,.,.,.,.,.,.,.,.,.,.,
2003-0807,I7,16-Jul-2003,1,.,0.88,.,0.046,.,0.015,0.000,11.340,13.433,0.168,0.041,3.919,0.13,29.32,2.09,609.68,50.76,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0808,I7,16-Jul-2003,5.5,.,1.76,.,0.119,.,0.022,0.009,10.026,15.175,0.085,0.027,1.821,0.06,72.12,5.15,510.44,42.50,.,.,.,.,.,.,.,.,.,.,
2003-0809,I8,16-Jul-2003,1,.,0.96,.,0.053,.,0.026,0.085,12.379,15.666,0.078,0.052,0.806,0.03,46.04,3.29,444.32,36.99,.,.,.,.,.,.,.,.,.,.,
2003-0810,I8,16-Jul-2003,5,.,1.03,.,0.047,.,0.041,0.014,26.190,28.780,0.224,0.043,5.605,0.18,36.28,2.59,389.64,32.44,.,.,.,.,.,.,.,.,.,.,
,E1,18-Jul-2003,0,.,1.11,.,0.137,.,0.017,0.100,5.555,8.177,0.180,0.035,4.509,0.15,36.72,2.62,328.36,27.34,.,.,.,.,.,.,.,.,.,.,
,E1,18-Jul-2003,1,.,1.19,.,0.036,.,0.019,0.033,4.459,6.958,0.214,0.052,5.015,0.16,35.00,2.50,323.04,26.90,.,.,.,.,.,.,.,.,.,.,
,E1,18-Jul-2003,3,.,.,.,0.000,.,0.014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4  below detection limit
,E1,18-Jul-2003,5,.,1.35,.,0.051,.,0.018,0.162,.,.,.,.,5.057,0.16,35.12,2.51,259.44,21.60,.,.,.,.,.,.,.,.,.,.,
,E1,18-Jul-2003,9,.,1.02,.,3.617,.,0.020,0.260,14.626,16.819,0.287,0.026,8.091,0.26,30.72,2.19,232.88,19.39,.,.,.,.,.,.,.,.,.,.,
2003-0211,Toolik Main,18-Jul-2003,0,.,1.45,.,0.126,.,0.014,0.009,8.097,11.344,.,.,5.446,0.18,45.48,3.25,345.69,28.78,.,.,.,.,.,.,.,.,.,.,
2003-0212,Toolik Main,18-Jul-2003,1,.,1.39,.,0.089,.,0.016,0.000,6.068,9.419,0.175,0.051,3.828,0.12,46.95,3.35,440.06,36.64,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0213,Toolik Main,18-Jul-2003,3,.,1.48,.,0.032,.,0.016,0.000,6.040,11.238,0.197,0.049,4.614,0.15,72.81,5.20,447.82,37.28,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0214,Toolik Main,18-Jul-2003,5,.,1.30,.,0.003,.,0.015,0.000,12.335,15.860,0.270,0.063,6.417,0.21,49.39,3.53,362.29,30.16,.,.,.,.,.,.,.,.,.,.,NO3 below detection limit
2003-0215,Toolik Main,18-Jul-2003,8,.,1.48,.,0.061,.,0.017,0.033,11.327,14.330,0.218,0.048,5.261,0.17,42.07,3.00,332.34,27.67,.,.,.,.,.,.,.,.,.,.,
2003-0216,Toolik Main,18-Jul-2003,12,.,1.11,.,0.355,.,0.015,0.003,.,.,0.174,0.049,3.874,0.13,44.51,3.18,315.74,26.29,.,.,.,.,.,.,.,.,.,.,
2003-0217,Toolik Main,18-Jul-2003,16,.,0.72,.,0.785,.,0.013,0.862,5.803,9.296,0.168,0.025,4.429,0.14,48.92,3.49,378.21,31.49,.,.,.,.,.,.,.,.,.,.,
,Toolik Main,18-Jul-2003,20,.,0.67,.,0.765,.,0.014,1.111,4.722,7.517,0.333,0.037,9.190,0.30,39.14,2.79,340.82,28.38,.,.,.,.,.,.,.,.,.,.,
2003-0123,E5,21-Jul-2003,0,.,1.54,.,0.082,.,0.008,0.094,.,.,0.325,0.087,7.387,0.24,54.99,3.93,459.43,38.25,.,.,.,.,.,.,.,.,.,.,
